"";"id";"raça";"idade";"ing_nat";"gênero";"mão_dom";"fonte";"país";"E1";"E2";"E3";"E4";"E5";"E6";"E7";"E8";"E9";"E10";"N1";"N2";"N3";"N4";"N5";"N6";"N7";"N8";"N9";"N10";"A1";"A2";"A3";"A4";"A5";"A6";"A7";"A8";"A9";"A10";"C1";"C2";"C3";"C4";"C5";"C6";"C7";"C8";"C9";"C10";"O1";"O2";"O3";"O4";"O5";"O6";"O7";"O8";"O9";"O10";"extr";"neur";"amab";"cons";"aber";"fluid";"wellb";"empa";"E";"N";"A";"C";"O"
"1582";"s1582";"Sudeste Asiático (Chinês, Tailandês, Malaio, Filipino, etc.)";19;"Não";"Feminino";"Direita";1;"IN";3;2;4;2;4;2;2;2;5;4;4;5;4;5;2;4;5;2;2;1;4;5;1;4;2;4;2;5;4;5;3;2;3;1;2;2;5;1;4;4;4;2;3;1;3;2;4;3;4;3;3,6;2,6;4,4;3,9;3,7;0,87138019183717;-2,42008486642244;3,40413868368587;19;9;24;21;20
"17945";"s17945";"Sudeste Asiático (Chinês, Tailandês, Malaio, Filipino, etc.)";19;"Não";"Feminino";"Direita";1;"PH";3;1;4;3;4;2;3;2;2;4;4;3;5;2;2;5;4;3;4;2;4;4;5;4;2;4;1;3;5;3;2;2;4;5;1;4;3;4;1;3;4;3;5;3;2;1;4;4;4;2;3,4;3,6;3,7;2,3;3,6;1,7186985334662;-0,237010714623416;2,10459491902403;17;16;15;14;21
"19254";"s19254";"Caucasiano (Europeu)";15;"Sim";"Feminino";"Direita";1;"US";4;2;5;3;4;3;4;3;3;3;3;4;2;3;5;2;5;4;4;3;5;4;5;5;2;4;3;4;4;5;3;3;3;3;1;4;4;4;2;3;2;3;3;3;4;2;4;2;5;4;3,6;3,3;3,9;2,6;3,4;2,71791481754395;-2,13458702016645;2,03188378550306;16;15;19;14;19
"7382";"s7382";"Caucasiano (Europeu)";19;"Sim";"Feminino";"Direita";1;"US";1;4;2;5;2;4;2;5;2;5;4;2;5;1;4;5;5;4;5;5;4;4;2;4;3;5;3;3;5;3;3;1;4;2;2;2;4;3;3;3;3;3;4;3;3;2;4;2;5;4;1,6;4,6;3,8;3,5;3,5;1,48877219521554;-3,47562727490866;2,72289741864518;8;23;18;19;20
"17220";"s17220";"Caucasiano (Europeu)";60;"Sim";"Feminino";"Direita";1;"US";1;5;2;3;2;1;1;5;1;4;5;3;4;1;4;5;4;5;5;5;5;3;1;5;2;5;3;5;5;2;4;4;5;1;1;4;4;1;3;5;4;1;4;1;5;1;5;3;5;5;1,9;4,5;4,2;3,6;4,6;2,30656715227493;-3,94614427959519;3,37611398626321;10;21;20;22;24
"5914";"s5914";NA;36;"Sim";"Feminino";"Direita";1;"US";3;3;2;4;2;2;2;3;3;5;3;4;4;4;3;2;2;1;3;1;4;3;2;5;3;5;3;4;4;4;3;1;4;4;2;3;2;3;4;4;4;2;4;3;4;1;4;3;3;4;2,5;2,3;3,9;3,2;3,8;2,51277931099624;-0,352677279780434;2,42754089996355;14;12;19;18;19
"8017";"s8017";"Raça Mista";19;"Sim";"Feminino";"Esquerda";5;"US";3;2;4;3;3;1;2;4;2;4;3;3;4;2;3;2;2;1;2;3;5;5;1;5;3;5;2;5;4;3;4;2;4;1;2;1;4;3;4;3;3;3;4;3;3;2;3;3;1;2;3;2,7;4,4;3,8;2,9;1,76701238942041;-3,29564778159229;2,41428445088577;15;17;23;19;15
"538";"s538";"Caucasiano (Europeu)";24;"Não";"Feminino";"Direita";2;"SE";1;3;3;4;3;4;3;3;3;5;2;3;4;2;3;3;3;3;2;3;5;4;1;4;2;3;3;3;4;4;4;3;4;2;3;3;4;3;3;3;4;1;4;2;4;2;5;4;5;5;2,4;3;3,9;3,4;4,4;2,52871181702872;-1,48708731543201;2,96696499311684;12;17;21;17;22
"12915";"s12915";"Sudeste Asiático (Chinês, Tailandês, Malaio, Filipino, etc.)";21;"Sim";"Masculino";"Direita";1;"CA";2;4;3;4;2;2;2;4;3;5;4;3;5;2;4;5;4;3;4;4;2;3;3;3;4;3;3;4;2;4;4;2;4;3;2;2;5;4;4;4;2;2;4;2;4;2;3;2;5;4;2,3;4;2,9;3,6;3,6;1,71165625281704;-2,21484447126509;1,67682527127027;12;20;16;17;20
"12441";"s12441";"Caucasiano (Europeu)";16;"Sim";"Feminino";"Direita";5;"US";3;2;4;3;5;1;4;3;5;3;2;4;3;4;4;2;1;2;2;1;1;5;1;5;1;5;1;5;5;4;5;3;5;3;3;1;3;2;4;3;3;1;5;2;5;1;4;3;5;5;3,9;2,1;4,5;3,8;4,4;1,67972171456827;0,114921594593443;2,51080868284823;20;12;20;18;23
"19585";"s19585";"Raça Mista";33;"Sim";"Masculino";"Direita";1;"US";3;3;5;2;5;1;5;4;1;5;3;3;3;4;1;3;2;1;3;1;5;5;2;5;1;5;1;4;5;5;4;3;4;2;3;1;5;1;2;5;5;1;5;1;5;1;5;5;5;5;3,4;2,2;4,8;4;5;2,40738009655979;-0,589500943685542;3,99561060115981;12;10;23;21;25
"8981";"s8981";"Caucasiano (Europeu)";20;"Sim";"Feminino";"Direita";2;"IE";3;2;5;3;5;2;4;5;1;4;2;5;4;4;4;3;1;1;1;2;5;5;1;5;1;5;1;5;5;5;5;3;5;1;2;2;4;1;4;5;4;3;5;3;5;1;4;4;5;4;3,2;2,1;5;4,2;4,2;1,05470305330266;-1,11564471482603;2,44304069443722;12;13;25;23;22
"1908";"s1908";"Caucasiano (Europeu)";35;"Não";"Feminino";"Direita";1;"BR";4;5;3;5;3;3;5;4;3;5;3;3;4;4;2;3;3;2;2;3;2;5;3;5;1;4;1;3;4;4;4;4;4;5;2;4;3;2;5;3;3;1;5;2;3;1;5;3;4;4;2,6;2,7;4;3;4,1;2,1480608465403;-1,22099491917652;1,20630319913904;10;14;17;14;23
"10466";"s10466";"Caucasiano (Europeu)";23;"Não";"Feminino";"Direita";1;"GR";1;5;1;5;1;5;1;5;1;5;4;2;5;1;5;5;3;4;5;5;2;2;4;2;4;4;5;2;2;1;2;4;3;5;1;5;3;3;1;2;3;3;3;2;2;4;3;3;4;2;1;4,5;2;1,9;2,9;-0,519297779217974;-2,02585661727162;3,44661337174008;5;24;9;11;16
"287";"s287";"Nordeste Asiático (Mongol, Tibetano, Japonês Coreano, etc)";13;"Sim";"Feminino";"Direita";5;"US";4;1;4;2;4;2;4;2;4;2;2;4;2;1;2;2;1;1;2;1;5;4;2;3;2;4;1;4;3;4;4;2;4;1;3;2;2;2;3;4;3;2;4;2;3;1;4;1;4;4;4,1;2;4;3,7;3,6;1,46385283849563;-2,2528405807163;3,6660022733602;21;12;21;21;21
"6486";"s6486";"Caucasiano (Europeu)";16;"Sim";"Masculino";"Direita";5;"US";2;3;4;3;4;1;5;2;4;5;2;5;4;1;1;2;4;2;1;2;5;4;3;4;1;3;1;3;3;3;4;2;4;2;2;4;3;4;2;3;3;3;4;2;4;2;4;3;3;5;3,5;2,4;3,8;3;3,7;0,830571091930407;0,539898014206466;0,782544068489356;17;13;18;17;19
"2393";"s2393";"Caucasiano (Europeu)";26;"Não";"Feminino";"Esquerda";2;"FI";3;2;4;2;4;2;2;4;2;3;4;2;4;1;2;3;2;2;4;2;4;4;2;5;1;4;2;4;4;3;4;5;5;2;2;4;5;1;5;4;3;3;2;3;2;2;4;4;5;5;3,2;3,2;4,1;3,7;3,5;0,0654400873265364;-0,855888633520075;3,15023386561735;15;17;19;19;18
"4662";"s4662";"Caucasiano (Europeu)";39;"Não";"Masculino";"Direita";1;"SK";2;3;2;3;2;2;2;3;3;5;3;3;4;5;4;4;3;2;4;5;2;2;3;4;4;5;4;1;4;1;3;2;3;4;2;5;3;4;3;5;2;1;3;1;4;2;5;4;4;5;2,5;3,3;2,6;2,8;4,1;0,684198105168973;-2,53809685641143;2,42112878897035;14;17;9;16;21
"2455";"s2455";"Outro";25;"Sim";"Feminino";"Direita";1;"CA";2;3;4;3;4;2;2;3;4;4;4;2;5;1;3;2;5;4;4;5;4;3;3;4;2;5;3;5;5;5;4;1;4;4;4;1;5;1;4;2;2;4;2;3;3;3;4;1;5;3;3,1;4,1;4,1;4;2,8;0,645176086512016;-2,62015924817062;3,24866672140915;16;22;20;18;17
"13484";"s13484";"Sudeste Asiático (Chinês, Tailandês, Malaio, Filipino, etc.)";20;"Sim";"Feminino";"Direita";1;"GB";4;1;4;1;4;1;5;1;5;2;3;2;5;4;4;5;4;4;4;4;5;5;1;5;1;5;1;5;5;5;3;4;4;3;3;2;5;3;4;5;1;1;5;1;4;1;5;1;5;5;4,6;3,9;5;3,6;4,1;2,11588069367637;-0,669316836099425;3,37389075844387;24;19;25;17;25
"9858";"s9858";"Outro";29;"Não";"Masculino";"Direita";2;"BZ";3;2;3;4;3;3;3;3;3;3;3;3;4;3;3;3;3;3;3;3;1;4;3;4;3;3;3;3;4;3;5;3;5;1;5;3;5;3;3;2;2;3;5;3;5;1;3;3;4;4;3;3,1;3,1;3,9;3,7;3,92594257648078;-1,94583127267276;2,09299552553473;16;16;14;18;20
"1989";"s1989";"Raça Mista";19;"Sim";"Feminino";"Direita";1;"US";4;3;3;3;3;3;2;3;3;3;2;2;2;1;2;2;2;1;1;1;5;3;2;3;2;3;2;3;2;3;4;3;4;1;1;4;3;2;3;4;2;3;5;1;5;1;3;1;3;5;3;2,2;3,4;3,3;3,7;1,43649421652236;-1,67259410835003;3,04306453053498;15;14;18;20;21
"4650";"s4650";"Raça Mista";30;"Sim";"Feminino";"Direita";2;"US";3;2;3;3;3;2;1;3;3;4;4;3;3;3;2;3;2;2;4;2;5;4;1;5;2;5;2;5;4;4;3;5;1;3;1;5;4;3;3;2;5;1;3;1;5;2;5;5;4;3;2,9;2,8;4,5;2,2;4,4;0,276648998440721;-1,99529498848996;3,65793777860959;16;13;23;10;21
"7602";"s7602";"Raça Mista";43;"Sim";"Masculino";"Direita";1;"US";3;4;5;2;5;2;5;4;4;2;1;5;2;4;1;1;3;2;1;2;2;4;2;2;4;4;4;2;2;3;5;2;4;3;2;4;2;1;2;4;4;1;4;2;4;2;5;2;2;5;3,8;1,6;2,7;3,3;3,9;0,87759322028234;-0,568300332958224;1,49479598915741;16;8;15;20;19
"18037";"s18037";"Sudeste Asiático (Chinês, Tailandês, Malaio, Filipino, etc.)";23;"Não";"Masculino";"Direita";2;"MY";3;1;3;3;5;3;3;4;4;5;5;4;4;1;5;5;5;4;4;3;1;5;5;5;1;5;4;4;4;5;2;2;4;5;4;4;3;5;3;4;5;5;4;4;2;5;4;5;5;4;3,2;4,2;3,7;2,8;3,3;1,78641686466786;-2,14131628532326;1,4922659266149;15;19;16;14;16
