"";"id";"raça";"idade";"ing_nat";"gênero";"mão_dom";"fonte";"país";"E1";"E2";"E3";"E4";"E5";"E6";"E7";"E8";"E9";"E10";"N1";"N2";"N3";"N4";"N5";"N6";"N7";"N8";"N9";"N10";"A1";"A2";"A3";"A4";"A5";"A6";"A7";"A8";"A9";"A10";"C1";"C2";"C3";"C4";"C5";"C6";"C7";"C8";"C9";"C10";"O1";"O2";"O3";"O4";"O5";"O6";"O7";"O8";"O9";"O10";"extr";"neur";"amab";"cons";"aber";"fluid";"wellb";"empa";"E";"N";"A";"C";"O"
"16010";"s16010";"Caucasiano (Europeu)";25;"Não";"Masculino";"Direita";1;"IT";2;5;3;3;2;5;2;2;4;2;3;4;5;4;2;2;4;2;2;3;3;5;4;4;4;5;4;4;4;3;3;5;5;1;3;4;3;5;3;4;3;4;5;4;4;5;4;3;5;4;3;3,1;4;3,6;4,1;2,43944263831014;0,431020366169385;0,339145555700666;18;18;19;20;23
"2297";"s2297";"Caucasiano (Indiano)";28;"Não";"Masculino";"Direita";1;"IN";2;2;3;2;5;3;3;3;3;2;2;2;3;3;5;3;3;3;3;2;3;3;3;3;1;3;3;4;3;2;4;4;4;2;5;3;3;3;3;2;4;3;2;3;4;2;4;4;3;2;2,8;2,9;2,8;3,3;3,1;2,02634004827504;-0,974858874550534;0,326203657569275;13;15;15;15;14
"13754";"s13754";"Caucasiano (Europeu)";18;"Não";"Masculino";"Direita";1;"BR";3;1;2;4;2;1;1;2;4;1;5;1;4;3;4;3;3;3;5;3;2;5;4;3;1;4;5;3;4;3;3;3;2;3;4;4;5;3;5;3;3;1;3;1;3;2;1;1;5;4;2,1;3,4;3,4;3,5;2,4;0,942770580159739;-2,64999079595657;2,39050469610885;9;15;17;14;12
"19323";"s19323";"Caucasiano (Europeu)";17;"Não";"Feminino";"Ambas";1;"SI";1;3;3;1;2;4;1;2;1;3;3;2;2;4;2;2;2;2;2;2;5;4;5;5;4;5;5;5;5;5;4;2;5;4;3;1;3;4;4;4;4;5;5;5;5;5;5;4;3;5;2,1;2,3;4,8;3,4;4,6;3,30897990822591;-0,128248973106863;3,20015589876987;13;12;24;19;23
"14306";"s14306";"Caucasiano (Europeu)";47;"Não";"Feminino";"Direita";1;"ZA";1;1;4;2;3;2;1;5;2;1;4;2;4;3;1;4;2;1;3;1;4;3;5;3;4;5;2;4;4;5;4;5;5;5;4;5;5;5;4;5;4;5;4;5;4;5;4;4;5;4;2,2;2,5;3,9;4,7;4,4;3,10901908481953;-2,12740419823012;2,8902157523732;11;11;21;25;23
"8533";"s8533";"Caucasiano (Europeu)";36;"Sim";"Feminino";"Direita";2;"US";5;3;4;2;1;4;3;2;5;1;3;3;3;2;1;3;2;1;3;1;5;4;5;5;5;5;5;5;3;5;4;5;5;5;5;5;5;5;5;5;1;5;2;5;4;3;5;1;5;4;3;2,2;4,7;4,9;3,5;3,01655678944185;-1,70631793613288;3,705664992148;15;10;24;25;20
"16276";"s16276";"Sudeste Asiático (Chinês, Tailandês, Malaio, Filipino, etc.)";23;"Não";"Feminino";"Direita";3;"TW";3;2;2;2;2;3;1;2;1;2;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;3;4;3;2;2;4;2;3;2;4;3;3;2;3;4;4;3;3;3;3;2;3;3;2;4;3,7;2,7;3,1;1,72459432755044;-2,92025112453972;2,48940321385014;10;20;17;13;16
"2710";"s2710";"Caucasiano (Europeu)";27;"Sim";"Feminino";"Direita";5;"US";2;2;2;1;2;4;3;1;1;1;5;5;5;4;2;2;2;2;2;2;3;3;5;4;2;3;2;3;3;4;4;4;4;4;3;5;4;4;4;3;3;4;3;2;3;4;4;4;4;3;1,9;3,1;3,2;3,9;3,4;0,773298029572542;-1,00996795060936;0,922557564330462;9;18;18;19;17
"7536";"s7536";"Caucasiano (Europeu)";53;"Sim";"Masculino";"Direita";1;"CA";4;5;4;3;4;4;4;3;3;3;2;2;4;2;2;4;1;1;2;1;5;5;4;5;4;4;4;5;5;5;3;1;2;5;3;4;4;5;3;4;4;5;5;5;4;5;5;4;4;5;3,7;2,1;4,6;3,4;4,6;1,91810287577548;0,0836865962960136;3,21097962695764;18;11;24;17;24
"14345";"s14345";"Raça Mista";36;"Sim";"Feminino";"Direita";1;"IT";3;4;4;2;4;5;4;3;4;2;3;1;4;2;2;1;1;1;1;3;5;5;3;5;5;5;5;5;5;4;4;1;4;3;4;2;5;5;4;4;5;5;5;5;4;5;5;4;4;5;3,5;1,9;4,7;3,6;4,7;2,12713970947007;-0,791444979360013;2,48184166742559;18;12;22;17;24
